Key,English,Arabic (Reference),Category,Translation,Notes
purchases.bills.outstanding,Outstanding,المستحق,General,,
purchases.bills.toBePaid,To be paid,للدفع,General,,
purchases.bills.overdueAmount,Overdue,متأخر,General,,
purchases.bills.pastDueDate,Past due date,متجاوزة تاريخ الاستحقاق,General,,
purchases.bills.descriptionPlaceholder,Enter bill description,أدخل وصف الفاتورة,General,,
purchases.bills.supplierReference,Supplier Reference,مرجع المورد,General,,
purchases.bills.supplierInvoiceNumber,Supplier invoice number,رقم فاتورة المورد,General,,
purchases.bills.billCreated,Bill Created,تم إنشاء الفاتورة,General,,
purchases.bills.billCreatedDesc,New bill has been created successfully.,تم إنشاء فاتورة جديدة بنجاح.,General,,
purchases.bills.billCreateError,Failed to create bill.,فشل في إنشاء الفاتورة.,General,,
purchases.bills.billDeleted,Bill Deleted,تم حذف الفاتورة,General,,
purchases.bills.billDeletedDesc,Bill has been deleted successfully.,تم حذف الفاتورة بنجاح.,General,,
purchases.bills.billDeleteError,Failed to delete bill.,فشل في حذف الفاتورة.,General,,
purchases.bills.billDuplicated,Bill duplicated,تم نسخ الفاتورة,General,,
purchases.bills.billDuplicatedDesc,A copy of the bill has been created.,تم إنشاء نسخة من الفاتورة.,General,,
purchases.bills.confirmDelete,Are you sure you want to delete this bill?,هل أنت متأكد من حذف هذه الفاتورة؟,General,,
purchases.orders.title,Purchase Orders,طلبات الشراء,General,,
purchases.orders.description,Manage purchase orders and vendor deliveries,إدارة طلبات الشراء من الموردين,General,,
purchases.orders.descriptionShort,Manage purchase orders,إدارة طلبات الشراء,General,,
purchases.orders.addPurchaseOrder,New Purchase Order,إضافة طلب شراء,General,,
purchases.orders.editPurchaseOrder,Edit Purchase Order,تعديل طلب شراء,General,,
purchases.orders.purchaseOrderNumber,PO Number,رقم طلب الشراء,General,,
purchases.orders.purchaseOrderDate,Order Date,تاريخ الطلب,General,,
purchases.orders.expectedDelivery,Expected Delivery,التسليم المتوقع,General,,
purchases.orders.convertToBill,Convert to Bill,تحويل إلى فاتورة مورد,General,,
purchases.orders.totalPurchaseOrders,Total Orders,إجمالي طلبات الشراء,General,,
purchases.orders.received,Received,مستلم,General,,
purchases.orders.ordered,Ordered,قيد الطلب,General,,
purchases.orders.pendingApproval,Pending Approval,بانتظار الموافقة,General,,
purchases.orders.allOrders,All Orders,جميع الطلبات,General,,
purchases.orders.approval,Approval,الموافقة,General,,
purchases.orders.totalValue,Total Value,القيمة الإجمالية,General,,
purchases.orders.purchaseVolume,Purchase volume,حجم المشتريات,General,,
purchases.orders.averageValue,Average Value,متوسط القيمة,General,,
purchases.orders.perOrder,Per order,لكل طلب,General,,
purchases.orders.viewDetails,View Details,عرض التفاصيل,General,,
purchases.orders.approve,Approve,اعتماد,General,,
purchases.orders.sendToVendor,Send to Vendor,إرسال إلى المورد,General,,
purchases.orders.cancelOrder,Cancel Order,إلغاء الطلب,General,,
purchases.orders.orderCreated,Purchase order created,تم إنشاء طلب الشراء,General,,
purchases.orders.orderCreatedDesc,New purchase order has been created successfully.,تم إنشاء طلب الشراء بنجاح.,General,,
purchases.orders.orderCreateError,Failed to create purchase order,فشل في إنشاء طلب الشراء,General,,
purchases.orders.orderApproved,Order approved,تم اعتماد الطلب,General,,
purchases.orders.orderApprovedDesc,Purchase order has been approved successfully.,تم اعتماد طلب الشراء بنجاح.,General,,
purchases.orders.orderConvertedDesc,Purchase order has been converted to a bill.,تم تحويل طلب الشراء إلى فاتورة.,General,,
purchases.orders.orderSent,Order sent,تم إرسال الطلب,General,,
purchases.orders.orderSentDesc,Purchase order has been sent to the vendor.,تم إرسال طلب الشراء إلى المورد.,General,,
purchases.orders.confirmCancel,Are you sure you want to cancel this purchase order?,هل أنت متأكد من إلغاء طلب الشراء؟,General,,
purchases.orders.orderCancelled,Order cancelled,تم إلغاء الطلب,General,,
purchases.orders.orderCancelledDesc,The purchase order has been cancelled.,تم إلغاء طلب الشراء.,General,,
purchases.orders.createPurchaseOrder,Create Purchase Order,إنشاء طلب شراء,General,,
purchases.orders.descriptionPlaceholder,Enter order description,أدخل وصف الطلب,General,,
purchases.expenses.title,Expenses,المصروفات,General,,
purchases.expenses.description,Track and manage business expenses,تتبع وإدارة مصروفات الأعمال,General,,
purchases.expenses.descriptionShort,Track expenses,تتبع المصروفات,General,,
purchases.expenses.addExpense,New Expense,مصروف جديد,General,,
purchases.expenses.editExpense,Edit Expense,تعديل مصروف,General,,
purchases.expenses.expenseNumber,Expense #,رقم المصروف,General,,
purchases.expenses.expenseDate,Expense Date,تاريخ المصروف,General,,
purchases.expenses.category,Category,الفئة,General,,
purchases.expenses.selectCategory,Select category,اختر الفئة,General,,
purchases.expenses.amount,Amount,المبلغ,General,,
purchases.expenses.paidBy,Paid By,تم الدفع بواسطة,General,,
purchases.expenses.paidByPlaceholder,Who paid for this expense?,من الذي دفع هذا المصروف؟,General,,
purchases.expenses.paymentMethod,Payment Method,طريقة الدفع,General,,
purchases.expenses.payment,Payment,الدفع,General,,
purchases.expenses.reference,Reference,المرجع,General,,
purchases.expenses.receipt,Receipt,الإيصال,General,,
purchases.expenses.uploadReceipt,Upload Receipt,رفع الإيصال,General,,
purchases.expenses.reimbursable,Reimbursable,قابل للاسترداد,General,,
purchases.expenses.reimbursableHint,Should this expense be reimbursed?,هل يجب تعويض هذا المصروف؟,General,,
purchases.expenses.notesPlaceholder,Additional notes about this expense...,ملاحظات إضافية حول هذا المصروف...,General,,
purchases.expenses.createExpense,Create Expense,إنشاء مصروف,General,,
purchases.expenses.totalExpenses,Total Expenses,إجمالي المصروفات,General,,
purchases.expenses.allExpenses,All expenses,جميع المصروفات,General,,
purchases.expenses.approvedExpenses,Approved expenses,المصروفات المعتمدة,General,,
purchases.expenses.awaitingApproval,Awaiting approval,بانتظار الموافقة,General,,
purchases.expenses.toReimburse,To reimburse,للتعويض,General,,
purchases.expenses.approved,Approved,موافق عليه,General,,
purchases.expenses.rejected,Rejected,مرفوض,General,,
purchases.expenses.reimbursed,Reimbursed,تم التعويض,General,,
purchases.expenses.approve,Approve,اعتماد,General,,
purchases.expenses.reject,Reject,رفض,General,,
purchases.expenses.reimburse,Reimburse,تعويض,General,,
purchases.expenses.expenseCreated,Expense created,تم إنشاء المصروف,General,,
purchases.expenses.expenseCreatedDesc,New expense has been created successfully.,تم إنشاء المصروف بنجاح.,General,,
purchases.expenses.expenseCreateError,Failed to create expense,فشل في إنشاء المصروف,General,,
purchases.expenses.categories.office,office,مصروفات مكتبية,General,,
purchases.expenses.categories.rent,rent,إيجار,General,,
purchases.expenses.categories.utilities,utilities,مرافق,General,,
purchases.expenses.categories.salaries,salaries,رواتب,General,,
purchases.expenses.categories.marketing,marketing,تسويق,General,,
purchases.expenses.categories.travel,travel,سفر,General,,
purchases.expenses.categories.equipment,equipment,معدات,General,,
purchases.expenses.categories.supplies,supplies,مستلزمات,General,,
purchases.expenses.categories.insurance,insurance,تأمين,General,,
purchases.expenses.categories.maintenance,maintenance,صيانة,General,,
purchases.expenses.categories.other,other,أخرى,General,,
purchases.debitNotes.title,Debit Notes,إشعارات المدين,General,,
purchases.debitNotes.description,Manage debit notes for vendor returns and adjustments,إدارة إشعارات الخصم لمرتجعات الموردين والتسويات,General,,
purchases.debitNotes.addDebitNote,New Debit Note,إشعار مدين جديد,General,,
purchases.debitNotes.editDebitNote,Edit Debit Note,تعديل إشعار مدين,General,,
purchases.debitNotes.debitNote,Debit Note,إشعار مدين,General,,
purchases.debitNotes.debitNoteNumber,Debit Note #,رقم الإشعار,General,,
purchases.debitNotes.debitNoteDate,Debit Note Date,تاريخ الإشعار,General,,
purchases.debitNotes.relatedBill,Related Bill,الفاتورة المرتبطة,General,,
purchases.debitNotes.reason,Reason,السبب,General,,
purchases.debitNotes.createDebitNote,Create Debit Note,إنشاء إشعار مدين,General,,
purchases.debitNotes.totalDebitNotes,Total Debit Notes,إجمالي إشعارات المدين,General,,
purchases.debitNotes.totalAmount,Total Amount,إجمالي المبلغ,General,,
purchases.debitNotes.debitIssued,Debit issued,خصم مُصدر,General,,
purchases.debitNotes.applied,Applied,مُطبَّق,General,,
purchases.debitNotes.toBills,To bills,على الفواتير,General,,
purchases.debitNotes.pending,Pending,قيد الانتظار,General,,
purchases.debitNotes.toBeApplied,To be applied,قيد التطبيق,General,,
purchases.debitNotes.searchPlaceholder,Search debit notes...,ابحث في إشعارات المدين...,General,,
purchases.debitNotes.send,Send,إرسال,General,,
purchases.debitNotes.applyToBill,Apply to Bill,تطبيق على فاتورة,General,,
purchases.debitNotes.confirmVoid,Are you sure you want to void this debit note?,هل أنت متأكد من إلغاء هذا الإشعار؟,General,,
purchases.debitNotes.debitNoteCreated,Debit note created,تم إنشاء إشعار مدين,General,,
purchases.debitNotes.debitNoteCreatedDesc,New debit note has been created successfully.,تم إنشاء إشعار المدين بنجاح.,General,,
purchases.debitNotes.debitNoteCreateError,Failed to create debit note,فشل في إنشاء إشعار المدين,General,,
purchases.debitNotes.debitNoteSent,Debit note sent,تم إرسال إشعار المدين,General,,
purchases.debitNotes.debitNoteSentDesc,The debit note has been sent to the vendor.,تم إرسال إشعار المدين إلى المورد.,General,,
purchases.debitNotes.debitNoteApplied,Debit applied,تم تطبيق الخصم,General,,
purchases.debitNotes.debitNoteAppliedDesc,Debit note has been applied to the bill successfully.,تم تطبيق إشعار المدين على الفاتورة بنجاح.,General,,
purchases.debitNotes.debitNoteVoided,Debit note voided,تم إلغاء إشعار المدين,General,,
purchases.debitNotes.debitNoteVoidedDesc,The debit note has been voided successfully.,تم إلغاء إشعار المدين بنجاح.,General,,
reports.financial.title,Financial Reports,التقارير المالية,Report,,
reports.financial.subtitle,Generate core financial statements and summaries,إنشاء البيانات المالية الأساسية والملخصات,Report,,
reports.financial.balanceSheetTitle,Balance Sheet,الميزانية العمومية,Report,,
reports.financial.balanceSheetDesc,"Assets, liabilities, and equity as of a date",الأصول والالتزامات وحقوق الملكية في تاريخ معين,Report,,
reports.financial.profitLossTitle,Profit & Loss,قائمة الدخل,Report,,
reports.financial.profitLossDesc,"Income, expenses, and net profit over a period",الإيرادات والمصروفات وصافي الربح خلال فترة,Report,,
reports.financial.trialBalanceTitle,Trial Balance,ميزان المراجعة,Report,,
reports.financial.trialBalanceDesc,Debits and credits for all accounts,المدين والدائن لجميع الحسابات,Report,,
reports.financial.cashFlowTitle,Cash Flow,التدفق النقدي,Report,,
reports.financial.cashFlowDesc,Cash inflows and outflows by activity,التدفقات النقدية الداخلة والخارجة حسب النشاط,Report,,
reports.financial.arAgingTitle,A/R Aging,أعمار الذمم,Report,,
reports.financial.arAgingDesc,Outstanding receivables by aging buckets,الذمم المدينة مقسمة حسب فترات الاستحقاق,Report,,
reports.financial.generate,Generate Report,إنشاء التقرير,Report,,
reports.financial.asOf,As of,حتى تاريخ,Report,,
reports.financial.from,From,من,Report,,
reports.financial.to,To,إلى,Report,,
reports.financial.totalAssets,Total Assets,إجمالي الأصول,Report,,
reports.financial.totalLiabilities,Total Liabilities,إجمالي الالتزامات,Report,,
reports.financial.totalEquity,Total Equity,إجمالي حقوق الملكية,Report,,
reports.financial.totalIncome,Total Income,إجمالي الإيرادات,Report,,
reports.financial.totalExpenses,Total Expenses,إجمالي المصروفات,Report,,
reports.financial.grossProfit,Gross Profit,مجمل الربح,Report,,
reports.financial.netProfit,Net Profit,صافي الربح,Report,,
reports.financial.netLoss,Net Loss,صافي الخسارة,Report,,
reports.financial.debit,Debit,مدين,Report,,
reports.financial.credit,Credit,دائن,Report,,
reports.assets,Assets,الأصول,Report,,
reports.liabilities,Liabilities,الالتزامات,Report,,
reports.equity,Equity,حقوق الملكية,Report,,
reports.revenue,Revenue,الإيرادات,Report,,
reports.expenses,Expenses,المصروفات,Report,,
reports.cogs,Cost of Goods Sold,تكلفة البضاعة المباعة,Report,,
reports.totalCogs,Total COGS,إجمالي تكلفة البضاعة المباعة,Report,,
reports.accountCode,Account Code,رمز الحساب,Accounting,,
reports.accountName,Account Name,اسم الحساب,Accounting,,
reports.total,Total,الإجمالي,Report,,
reports.notBalanced,Not balanced,غير متوازن,Report,,
reports.generating,Generating...,جاري الإنشاء...,Report,,
reports.failedToGenerateReport,Failed to generate report,فشل في إنشاء التقرير,Report,,
reports.failedToGenerateTryAgain,Failed to generate report. Please try again.,فشل في إنشاء التقرير. يرجى المحاولة مرة أخرى.,Report,,
reports.cashFlowSimplified,Cash Flow report coming soon. Showing raw data for now.,تقرير التدفق النقدي قيد الإعداد. يتم عرض البيانات الخام مؤقتاً.,Report,,
reports.arAgingReport,A/R Aging report coming soon. Showing raw data for now.,تقرير أعمار الذمم قيد الإعداد. يتم عرض البيانات الخام مؤقتاً.,Report,,
reports.profitLoss.title,title,قائمة الدخل,Report,,
reports.profitLoss.description,description,قائمة الأرباح والخسائر,Report,,
reports.profitLoss.revenue,revenue,الإيرادات,Report,,
reports.profitLoss.costOfSales,costOfSales,تكلفة المبيعات,Report,,
reports.profitLoss.grossProfit,grossProfit,إجمالي الربح,Report,,
reports.profitLoss.operatingExpenses,operatingExpenses,المصروفات التشغيلية,Report,,
reports.profitLoss.operatingIncome,operatingIncome,الدخل التشغيلي,Report,,
reports.profitLoss.netIncome,netIncome,صافي الدخل,Report,,
reports.profitLoss.netProfit,netProfit,صافي الربح,Report,,
reports.profitLoss.netLoss,netLoss,صافي الخسارة,Report,,
reports.balanceSheet.title,title,الميزانية العمومية,Report,,
reports.balanceSheet.description,description,قائمة المركز المالي,Report,,
reports.balanceSheet.assets,assets,الأصول,Report,,
reports.balanceSheet.currentAssets,currentAssets,الأصول المتداولة,Report,,
reports.balanceSheet.fixedAssets,fixedAssets,الأصول الثابتة,Report,,
reports.balanceSheet.totalAssets,totalAssets,إجمالي الأصول,Report,,
reports.balanceSheet.liabilities,liabilities,الالتزامات,Report,,
reports.balanceSheet.currentLiabilities,currentLiabilities,الالتزامات المتداولة,Report,,
reports.balanceSheet.longTermLiabilities,longTermLiabilities,الالتزامات طويلة الأجل,Report,,
reports.balanceSheet.totalLiabilities,totalLiabilities,إجمالي الالتزامات,Report,,
reports.balanceSheet.equity,equity,حقوق الملكية,Report,,
reports.balanceSheet.totalEquity,totalEquity,إجمالي حقوق الملكية,Report,,
reports.cashFlow.title,title,قائمة التدفقات النقدية,Report,,
reports.cashFlow.description,description,تقرير التدفق النقدي,Report,,
reports.cashFlow.operatingActivities,operatingActivities,الأنشطة التشغيلية,Report,,
reports.cashFlow.investingActivities,investingActivities,الأنشطة الاستثمارية,Report,,
reports.cashFlow.financingActivities,financingActivities,الأنشطة التمويلية,Report,,
reports.cashFlow.netCashFlow,netCashFlow,صافي التدفق النقدي,Report,,
reports.cashFlow.cashInflow,cashInflow,التدفقات النقدية الداخلة,Report,,
reports.cashFlow.cashOutflow,cashOutflow,التدفقات النقدية الخارجة,Report,,
reports.tax.title,Tax Reports,التقرير الضريبي,Report,,
reports.tax.description,description,تقارير الضرائب والاستحقاقات,Report,,
reports.tax.taxPeriod,taxPeriod,الفترة الضريبية,Report,,
reports.tax.taxableIncome,taxableIncome,الدخل الخاضع للضريبة,Report,,
reports.tax.taxAmount,taxAmount,مبلغ الضريبة,Report,,
reports.tax.taxRate,taxRate,نسبة الضريبة,Report,,
reports.tax.totalTax,totalTax,إجمالي الضرائب,Report,,
reports.tax.salesTax,salesTax,ضريبة المبيعات,Report,,
reports.tax.incomeTax,incomeTax,ضريبة الدخل,Report,,
reports.tax.vatReturns,vatReturns,إقرارات ضريبة القيمة المضافة,Report,,
reports.tax.summary,Tax summary for,ملخص الضرائب لـ,Report,,
reports.tax.collected,Collected,محصّلة,Report,,
reports.tax.statusFiled,Filed,مقدّم,Report,,
reports.tax.statusPaid,Paid,مدفوع,Report,,
reports.tax.statusPending,Pending,قيد الانتظار,Report,,
reports.tax.statusOverdue,Overdue,متأخر,Report,,
reports.trialBalance.title,title,ميزان المراجعة,Report,,
reports.trialBalance.description,description,ميزان المراجعة للحسابات,Report,,
reports.trialBalance.accountCode,accountCode,رمز الحساب,Accounting,,
reports.trialBalance.accountName,accountName,اسم الحساب,Accounting,,
reports.trialBalance.debit,debit,مدين,Report,,
reports.trialBalance.credit,credit,دائن,Report,,
reports.trialBalance.totalDebit,totalDebit,إجمالي المدين,Report,,
reports.trialBalance.totalCredit,totalCredit,إجمالي الدائن,Report,,
reports.inventory.title,title,تقرير المخزون,Report,,
reports.inventory.description,description,حالة المخزون والمنتجات,Report,,
reports.inventory.sku,sku,رمز المنتج,Report,,
reports.inventory.productName,productName,اسم المنتج,Report,,
reports.inventory.quantityOnHand,quantityOnHand,الكمية المتاحة,Report,,
reports.inventory.unitCost,unitCost,تكلفة الوحدة,Report,,
reports.inventory.totalValue,totalValue,القيمة الإجمالية,Report,,
reports.inventory.reorderLevel,reorderLevel,مستوى إعادة الطلب,Report,,
reports.inventory.lowStock,lowStock,مخزون منخفض,Report,,
reports.inventory.outOfStock,outOfStock,نفد من المخزون,Report,,
reports.inventory.inStock,inStock,متوفر,Report,,
reports.dateRange,dateRange,الفترة الزمنية,Report,,
reports.from,from,من,Report,,
reports.to,to,إلى,Report,,
reports.generate,generate,إنشاء التقرير,Report,,
reports.exportExcel,exportExcel,تصدير Excel,Report,,
reports.print,Print,طباعة,Report,,
reports.refresh,refresh,تحديث,Report,,
reports.thisMonth,This Month,هذا الشهر,Report,,
reports.thisQuarter,This Quarter,هذا الربع,Report,,
reports.thisYear,This Year,هذه السنة,Report,,
reports.customRange,Custom Range,نطاق مخصص,Report,,
reports.lastMonth,Last Month,الشهر الماضي,Report,,
reports.currentMonth,Current Month,الشهر الحالي,Report,,
reports.currentQuarter,Current Quarter,الربع الحالي,Report,,
reports.currentYear,Current Year,السنة الحالية,Report,,
reports.lastYear,Last Year,السنة الماضية,Report,,
reports.compare,Compare,مقارنة,Report,,
reports.export,Export,تصدير,Report,,
reports.totalRevenue,Total Revenue,إجمالي الإيرادات,Report,,
reports.grossProfit,Gross Profit,مجمل الربح,Report,,
reports.operatingIncome,Operating Income,الدخل التشغيلي,Report,,
reports.netIncome,Net Income,صافي الدخل,Report,,
reports.margin,margin,الهامش,Report,,
reports.percentageFromLastMonth,+{{percentage}}% from last month,+{{percentage}}% من الشهر الماضي,Report,,
reports.percentageFromLastPeriod,+{{percentage}}% from last period,+{{percentage}}% من الفترة السابقة,Report,,
reports.fromLastPeriod,from last period,من الفترة السابقة,Report,,
reports.incomeStatementFor,Income statement for,قائمة الدخل لـ,Report,,
reports.incomeStatementDetails,Income Statement Details,تفاصيل قائمة الدخل,Report,,
reports.account,Account,الحساب,Accounting,,
reports.amountUSD,Amount (USD),المبلغ (دولار),Report,,
reports.percentOfRevenue,% of Revenue,% من الإيرادات,Report,,
reports.costOfGoodsSold,Cost of Goods Sold,تكلفة البضاعة المباعة,Report,,
reports.totalCOGS,Total COGS,إجمالي تكلفة البضاعة المباعة,Report,,
reports.operatingExpenses,Operating Expenses,المصروفات التشغيلية,Report,,
reports.totalOperatingExpenses,Total Operating Expenses,إجمالي المصروفات التشغيلية,Report,,
reports.otherExpenses,Other Expenses,مصروفات أخرى,Report,,
reports.incomeBeforeTax,Income Before Tax,الدخل قبل الضريبة,Report,,
reports.incomeTaxExpense,Income Tax Expense,مصروف ضريبة الدخل,Report,,
reports.statementOfFinancialPosition,Statement of Financial Position as of,قائمة المركز المالي حتى,Report,,
reports.selectPeriod,Select period,اختر الفترة,Report,,
reports.comparePeriods,Compare Periods,مقارنة الفترات,Report,,
reports.totalAssets,Total Assets,إجمالي الأصول,Report,,
reports.totalLiabilities,Total Liabilities,إجمالي الالتزامات,Report,,
reports.totalEquity,Total Equity,إجمالي حقوق الملكية,Report,,
reports.companyBalanceSheet,Company Balance Sheet,الميزانية العمومية للشركة,Report,,
reports.balanceSheetAsOf,Balance Sheet as of,الميزانية العمومية حتى,Report,,
reports.previousPeriod,Previous Period,الفترة السابقة,Report,,
reports.totalCurrentAssets,Total Current Assets,إجمالي الأصول المتداولة,Report,,
reports.totalNonCurrentAssets,Total Non-Current Assets,إجمالي الأصول غير المتداولة,Report,,
reports.liabilitiesAndEquity,Liabilities & Equity,الالتزامات وحقوق الملكية,Report,,
reports.totalCurrentLiabilities,Total Current Liabilities,إجمالي الالتزامات المتداولة,Report,,
reports.totalNonCurrentLiabilities,Total Non-Current Liabilities,إجمالي الالتزامات غير المتداولة,Report,,
reports.totalLiabilitiesAndEquity,Total Liabilities & Equity,إجمالي الالتزامات وحقوق الملكية,Report,,
reports.shareholdersEquity,Shareholders' Equity,حقوق المساهمين,Report,,
reports.balanceCheck,Balance Check,فحص التوازن,Report,,
reports.balanced,Balanced,متوازن,Report,,
reports.imbalanced,Imbalanced,غير متوازن,Report,,
reports.difference,Difference,الفرق,Report,,
inventory.inStock,In Stock,متوفر,General,,
inventory.lowStock,Low Stock,مخزون منخفض,General,,
inventory.critical,Critical,حرج,General,,
inventory.outOfStock,Out of Stock,نفذ من المخزون,General,,
inventory.itemAdded,Inventory item added,تمت إضافة صنف المخزون,General,,
inventory.itemAddedSuccess,New inventory item has been added successfully.,تمت إضافة صنف المخزون الجديد بنجاح.,General,,
inventory.addingItem,Adding...,جاري الإضافة...,General,,
inventory.addItem,Add Item,إضافة صنف,General,,
inventory.totalItems,Total Items,إجمالي الأصناف,General,,
inventory.totalValue,Total Value,إجمالي القيمة,General,,
inventory.totalQuantity,Total Quantity,إجمالي الكمية,General,,
inventory.selectCategory,Select category,اختر الفئة,General,,
inventory.searchPlaceholder,Search by SKU or name...,البحث برقم SKU أو الاسم...,General,,
contacts.title,Contacts,جهات الاتصال,General,,
contacts.subtitle,Manage Customers and Suppliers,إدارة العملاء والموردين,General,,
contacts.customers,Customers,العملاء,General,,
contacts.suppliers,Suppliers,الموردون,General,,
contacts.both,Both,كلاهما,General,,
contacts.all,All,الكل,General,,
contacts.addContact,Add Contact,إضافة جهة اتصال,General,,
contacts.editContact,Edit Contact,تعديل جهة اتصال,General,,
contacts.deleteContact,Delete Contact,حذف جهة اتصال,General,,
contacts.addCustomer,Add Customer,إضافة عميل,General,,
contacts.addSupplier,Add Supplier,إضافة مورد,General,,
contacts.companyName,Company Name,اسم الشركة,General,,
contacts.contactName,Contact Name,اسم جهة الاتصال,General,,
contacts.displayName,Display Name,الاسم المعروض,General,,
contacts.contactCode,Contact Code,رمز جهة الاتصال,General,,
contacts.contactType,Contact Type,نوع جهة الاتصال,General,,
contacts.email,Email,البريد الإلكتروني,General,,
contacts.phone,Phone,الهاتف,General,,
contacts.website,Website,الموقع الإلكتروني,General,,
contacts.address,Address,العنوان,General,,
contacts.city,City,المدينة,General,,
contacts.state,State,الولاية,General,,
contacts.country,Country,الدولة,General,,
contacts.postalCode,Postal Code,الرمز البريدي,General,,
contacts.taxNumber,Tax Number,الرقم الضريبي,General,,
contacts.registrationNumber,Registration Number,رقم السجل,General,,
contacts.paymentTerms,Payment Terms,شروط الدفع,General,,
contacts.paymentTermsDays,Payment Terms Days,أيام الدفع,General,,
contacts.creditLimit,Credit Limit,حد الائتمان,General,,
contacts.currency,Currency,العملة,General,,
contacts.isActive,Active,نشط,General,,
contacts.customer,Customer,عميل,General,,
contacts.supplier,Supplier,مورد,General,,
contacts.noContacts,No Contacts,لا توجد جهات اتصال,General,,
contacts.noContactsDesc,Start by Adding Your First Contact,ابدأ بإضافة أول جهة اتصال,General,,
contacts.contactCreated,Contact Created,تم إنشاء جهة الاتصال,General,,
contacts.contactCreatedDesc,Contact added successfully,تم إضافة جهة الاتصال بنجاح,General,,
contacts.contactUpdated,Contact Updated,تم تحديث جهة الاتصال,General,,
contacts.contactUpdatedDesc,Contact information updated successfully,تم تحديث معلومات جهة الاتصال بنجاح,General,,
contacts.contactDeleted,Contact Deleted,تم حذف جهة الاتصال,General,,
contacts.contactDeletedDesc,Contact deleted successfully,تم حذف جهة الاتصال بنجاح,General,,
contacts.dueOnReceipt,On Receipt,عند الاستلام,General,,
contacts.net7,Within 7 Days,خلال 7 أيام,General,,
contacts.net15,Within 15 Days,خلال 15 يوم,General,,
contacts.net30,Within 30 Days,خلال 30 يوم,General,,
contacts.net45,Within 45 Days,خلال 45 يوم,General,,
contacts.net60,Within 60 Days,خلال 60 يوم,General,,
contacts.net90,Within 90 Days,خلال 90 يوم,General,,
contacts.activeContactDesc,activeContactDesc,يمكن استخدام جهات الاتصال النشطة في المعاملات,General,,
contacts.companyNamePlaceholder,companyNamePlaceholder,اسم الشركة أو الشخص,General,,
items.title,Items,الأصناف,General,,
items.subtitle,Manage Products and Services,إدارة المنتجات والخدمات,General,,
items.products,Products,المنتجات,General,,
items.services,Services,الخدمات,General,,
items.all,All,الكل,General,,
items.addItem,Add Item,إضافة صنف,General,,
items.editItem,Edit Item,تعديل صنف,General,,
items.deleteItem,Delete Item,حذف صنف,General,,
items.addProduct,Add Product,إضافة منتج,General,,
items.addService,Add Service,إضافة خدمة,General,,
items.itemName,Item Name,اسم الصنف,General,,
items.itemCode,Item Code,رمز الصنف,General,,
items.itemType,Item Type,نوع الصنف,General,,
items.product,Product,منتج,General,,
items.service,Service,خدمة,General,,
items.description,Description,الوصف,General,,
items.category,Category,الفئة,General,,
items.unit,Module,الوحدة,General,,
items.barcode,Barcode,الباركود,General,,
items.salePrice,Sale Price,سعر البيع,General,,
items.purchasePrice,Purchase Price,سعر الشراء,General,,
items.unitPrice,Unit Price,سعر الوحدة,General,,
items.stockQuantity,Stock Quantity,كمية المخزون,General,,
items.minimumStock,Minimum Stock,الحد الأدنى للمخزون,General,,
items.reorderLevel,Reorder Level,مستوى إعادة الطلب,General,,
items.supplier,Vendor,المورد,General,,
items.taxable,Taxable,خاضع للضريبة,General,,
items.isActive,Active,نشط,General,,
items.isSellable,Sellable,قابل للبيع,General,,
items.isPurchasable,Purchasable,قابل للشراء,General,,
items.trackInventory,Track Inventory,تتبع المخزون,General,,
items.inStock,In Stock,متوفر في المخزون,General,,
items.outOfStock,Out of Stock,غير متوفر,General,,
items.lowStock,Low Stock,مخزون منخفض,General,,
items.salesAccount,Sales Account,حساب المبيعات,General,,
items.purchaseAccount,Purchase Account,حساب المشتريات,General,,
items.inventoryAccount,Inventory Account,حساب المخزون,General,,
items.defaultTax,Default Tax,الضريبة الافتراضية,General,,
items.noItems,No Items,لا توجد أصناف,General,,
items.noItemsDesc,Start by Adding Your First Item,ابدأ بإضافة أول صنف,General,,
items.itemCreated,Item Created,تم إنشاء الصنف,General,,
items.itemCreatedDesc,Item added successfully,تم إضافة الصنف بنجاح,General,,
items.itemUpdated,Item Updated,تم تحديث الصنف,General,,
items.itemUpdatedDesc,Item information updated successfully,تم تحديث معلومات الصنف بنجاح,General,,
items.itemDeleted,Item Deleted,تم حذف الصنف,General,,
items.itemDeletedDesc,Item deleted successfully,تم حذف الصنف بنجاح,General,,
items.piece,Piece,قطعة,General,,
items.kg,Kilogram,كيلوجرام,General,,
items.liter,Liter,لتر,General,,
items.meter,Meter,متر,General,,
items.hour,Hour,ساعة,General,,
items.day,Day,يوم,General,,
items.box,Box,صندوق,General,,
items.pack,Pack,علبة,General,,
items.dozen,Dozen,دزينة,General,,
items.trackInventoryDesc,trackInventoryDesc,تمكين تتبع المخزون لهذا الصنف,General,,
accounts.title,Accounts,دليل الحسابات,Accounting,,
accounts.subtitle,Manage Financial Accounts,إدارة الحسابات المالية,Accounting,,
accounts.addAccount,Add Account,إضافة حساب,Accounting,,
accounts.editAccount,Edit Account,تعديل حساب,Accounting,,
accounts.deleteAccount,Delete Account,حذف حساب,Accounting,,
accounts.assets,Assets,الأصول,Accounting,,
accounts.liabilities,Liabilities,الخصوم,Accounting,,
accounts.equity,Equity,حقوق الملكية,Accounting,,
accounts.revenue,Revenue,الإيرادات,Accounting,,
