Key,English,Arabic
"consentDialog.disclaimerDescription","","هذا التطبيق للأغراض المعلوماتية فقط وليس نصيحة مالية."
"consentDialog.iUnderstand","","أفهم وأوافق"
"consentDialog.importantInfo","ℹ️ Important Information","معلومات مهمة"
"consentDialog.limitedLiability","Our liability is limited as per terms","شروط الخدمة الخاصة بنا توضح أحكام الخدمة ومسؤوليات المستخدم"
"consentDialog.mustAccept","You must accept all terms to use Log & Ledger. Current version: {{version}}","يجب قبول جميع الشروط للمتابعة"
"consentDialog.notSubstitute","It is not a substitute for professional accounting advice","نوصي بالاستشارة مع محاسب معتمد للأمور الضريبية والامتثال"
"consentDialog.privacyDesc","How we collect, use, and protect your data","كيف نجمع بياناتك ونستخدمها ونحميها"
"consentDialog.privacyDescription","","نحن نأخذ خصوصيتك على محمل الجد. اقرأ كيف نتعامل مع بياناتك."
"consentDialog.privacyPolicy","","سياسة الخصوصية"
"consentDialog.readAndAgree","I have read and agree to the","لقد قرأت وأوافق على"
"consentDialog.readAndUnderstand","I have read and understand the","لقد قرأت وفهمت"
"consentDialog.responsibleForData","You are responsible for your data accuracy","المستخدمون يتحملون المسؤولية الكاملة عن دقة البيانات والقرارات التجارية"
"consentDialog.reviewTerms","Please review and accept our terms to continue using the platform","يرجى مراجعة شروطنا قبل المتابعة"
"consentDialog.signOutSwitch","Sign Out (Switch Account)","تسجيل الخروج (تبديل الحساب)"
"consentDialog.softwareToolOnly","This software is a tool only","منصة محاسبية وإدارية احترافية"
"consentDialog.termsDesc","Including limitation of liability and governing law","بما في ذلك تحديد المسؤولية والقانون الحاكم"
"consentDialog.termsDescription","","باستخدام هذا التطبيق، فإنك توافق على شروط الخدمة الخاصة بنا."
"consentDialog.termsOfService","","شروط الخدمة"
"consentDialog.title","","موافقة المستخدم مطلوبة"
"consentDialog.toolNotAdvice","The software is a tool, not professional advice","Log & Ledger Pro منصة شاملة للمحاسبة والإدارة المالية"
"consentDialog.welcome","Welcome to Log & Ledger Pro","مرحباً بك في Log & Ledger"
"contactTypes.both","","عميل ومورد"
"contactTypes.customer","","عميل"
"contactTypes.supplier","","مورد"
"contacts.activeContactDesc","activeContactDesc","يمكن استخدام جهات الاتصال النشطة في المعاملات"
"contacts.addContact","Add Contact","إضافة جهة اتصال"
"contacts.addCustomer","Add Customer","إضافة عميل"
"contacts.addSupplier","Add Supplier","إضافة مورد"
"contacts.address","Address","العنوان"
"contacts.all","All","الكل"
"contacts.both","Both","كلاهما"
"contacts.city","City","المدينة"
"contacts.companyName","Company Name","اسم الشركة"
"contacts.companyNamePlaceholder","companyNamePlaceholder","اسم الشركة أو الشخص"
"contacts.contactCode","Contact Code","رمز جهة الاتصال"
"contacts.contactCreated","Contact Created","تم إنشاء جهة الاتصال"
"contacts.contactCreatedDesc","Contact added successfully","تم إضافة جهة الاتصال بنجاح"
"contacts.contactDeleted","Contact Deleted","تم حذف جهة الاتصال"
"contacts.contactDeletedDesc","Contact deleted successfully","تم حذف جهة الاتصال بنجاح"
"contacts.contactName","Contact Name","اسم جهة الاتصال"
"contacts.contactType","Contact Type","نوع جهة الاتصال"
"contacts.contactUpdated","Contact Updated","تم تحديث جهة الاتصال"
"contacts.contactUpdatedDesc","Contact information updated successfully","تم تحديث معلومات جهة الاتصال بنجاح"
"contacts.country","Country","الدولة"
"contacts.creditLimit","Credit Limit","حد الائتمان"
"contacts.currency","Currency","العملة"
"contacts.customer","Customer","عميل"
"contacts.customers","Customers","العملاء"
"contacts.deleteContact","Delete Contact","حذف جهة اتصال"
"contacts.displayName","Display Name","الاسم المعروض"
"contacts.dueOnReceipt","On Receipt","عند الاستلام"
"contacts.editContact","Edit Contact","تعديل جهة اتصال"
"contacts.email","Email","البريد الإلكتروني"
"contacts.isActive","Active","نشط"
"contacts.net15","Net 15","خلال 15 يوم"
"contacts.net30","Net 30","خلال 30 يوم"
"contacts.net45","Net 45","خلال 45 يوم"
"contacts.net60","Net 60","خلال 60 يوم"
"contacts.net7","Net 7","خلال 7 أيام"
"contacts.net90","Net 90","خلال 90 يوم"
"contacts.noContacts","No Contacts","لا توجد جهات اتصال"
"contacts.noContactsDesc","Start by Adding Your First Contact","ابدأ بإضافة أول جهة اتصال"
"contacts.paymentTerms","Payment Terms","شروط الدفع"
"contacts.paymentTermsDays","Payment Terms Days","أيام الدفع"
"contacts.phone","Phone","الهاتف"
"contacts.postalCode","Postal Code","الرمز البريدي"
"contacts.registrationNumber","Registration Number","رقم السجل"
"contacts.state","State","الولاية"
"contacts.subtitle","Manage Customers and Suppliers","إدارة العملاء والموردين"
"contacts.supplier","Supplier","مورد"
"contacts.suppliers","Suppliers","الموردون"
"contacts.taxNumber","Tax Number","الرقم الضريبي"
"contacts.title","Contacts","جهات الاتصال"
"contacts.website","Website","الموقع الإلكتروني"
"countries.australia","Australia","أستراليا"
"countries.canada","Canada","كندا"
"countries.france","France","فرنسا"
"countries.germany","Germany","ألمانيا"
"countries.unitedKingdom","United Kingdom","المملكة المتحدة"
"countries.unitedStates","United States","الولايات المتحدة"
"currencies.AED","UAE Dirham","الدرهم الإماراتي"
"currencies.AFN","Afghan Afghani","أفغاني أفغانستاني"
"currencies.ALL","Albanian Lek","ليك ألباني"
"currencies.ARS","Argentine Peso","البيزو الأرجنتيني"
"currencies.AUD","Australian Dollar","الدولار الأسترالي"
"currencies.BAM","Bosnia-Herzegovina Mark","مارك البوسنة والهرسك"
"currencies.BDT","Bangladeshi Taka","التاكا البنغلاديشي"
"currencies.BGN","Bulgarian Lev","الليف البلغاري"
"currencies.BHD","Bahraini Dinar","الدينار البحريني"
"currencies.BOB","Boliviano","بوليفيانو"
"currencies.BRL","Brazilian Real","الريال البرازيلي"
"currencies.BTN","Bhutanese Ngultrum","النجولترام البوتاني"
"currencies.BWP","Botswanan Pula","بولا بوتسواني"
"currencies.BYN","Belarusian Ruble","روبل بيلاروسي"
"currencies.CAD","Canadian Dollar","الدولار الكندي"
"currencies.CHF","Swiss Franc","الفرنك السويسري"
"currencies.CLP","Chilean Peso","البيزو التشيلي"
"currencies.CNY","Chinese Yuan","اليوان الصيني"
"currencies.COP","Colombian Peso","البيزو الكولومبي"
"currencies.CZK","Czech Koruna","الكورونا التشيكية"
"currencies.DKK","Danish Krone","الكرونة الدنماركية"
"currencies.DZD","Algerian Dinar","الدينار الجزائري"
"currencies.EGP","Egyptian Pound","الجنيه المصري"
"currencies.ETB","Ethiopian Birr","البير الإثيوبي"
"currencies.EUR","Euro","اليورو"
"currencies.GBP","British Pound","الجنيه الإسترليني"
"currencies.GHS","Ghanaian Cedi","السيدي الغاني"
"currencies.GYD","Guyanese Dollar","دولار غياني"
"currencies.HKD","","دولار هونج كونج"
"currencies.HRK","Croatian Kuna","الكونا الكرواتية"
"currencies.HUF","Hungarian Forint","الفورنت المجري"
"currencies.IDR","Indonesian Rupiah","الروبية الإندونيسية"
"currencies.ILS","Israeli Shekel","الشيكل الإسرائيلي"
"currencies.INR","Indian Rupee","الروبية الهندية"
"currencies.IQD","Iraqi Dinar","الدينار العراقي"
"currencies.IRR","Iranian Rial","الريال الإيراني"
"currencies.ISK","Icelandic Krona","الكرونة الآيسلندية"
"currencies.JOD","Jordanian Dinar","الدينار الأردني"
"currencies.JPY","Japanese Yen","الين الياباني"
"currencies.KES","Kenyan Shilling","الشلن الكيني"
"currencies.KGS","Kyrgyzstani Som","سوم قرغيزستاني"
"currencies.KHR","Cambodian Riel","الريال الكمبودي"
"currencies.KRW","South Korean Won","الوون الكوري"
"currencies.KWD","Kuwaiti Dinar","الدينار الكويتي"
"currencies.KZT","Kazakhstani Tenge","التنغي الكازاخستاني"
"currencies.LAK","Lao Kip","الكيب اللاوسي"
"currencies.LBP","Lebanese Pound","الليرة اللبنانية"
"currencies.LKR","Sri Lankan Rupee","الروبية السريلانكية"
"currencies.LSL","Lesotho Loti","لوتي ليسوتي"
"currencies.LYD","Libyan Dinar","الدينار الليبي"
"currencies.MAD","Moroccan Dirham","الدرهم المغربي"
"currencies.MDL","Moldovan Leu","ليو مولدوفي"
"currencies.MKD","Macedonian Denar","دينار مقدوني"
"currencies.MMK","Myanmar Kyat","الكيات الميانماري"
"currencies.MNT","Mongolian Tugrik","التوغريك المنغولي"
"currencies.MXN","Mexican Peso","البيزو المكسيكي"
"currencies.MYR","Malaysian Ringgit","الرنجيت الماليزي"
"currencies.MZN","Mozambican Metical","ميتيكال موزمبيقي"
"currencies.NAD","Namibian Dollar","دولار ناميبي"
"currencies.NGN","Nigerian Naira","النيرة النيجيرية"
"currencies.NOK","Norwegian Krone","الكرونة النرويجية"
"currencies.NPR","Nepalese Rupee","الروبية النيبالية"
"currencies.NZD","New Zealand Dollar","الدولار النيوزيلندي"
"currencies.OMR","Omani Rial","الريال العماني"
"currencies.PEN","Peruvian Sol","السول البيروفي"
"currencies.PHP","Philippine Peso","البيزو الفلبيني"
"currencies.PKR","Pakistani Rupee","الروبية الباكستانية"
"currencies.PLN","Polish Zloty","الزلوتي البولندي"
"currencies.PYG","Paraguayan Guarani","غواراني باراغواي"
"currencies.QAR","Qatari Riyal","الريال القطري"
"currencies.RON","Romanian Leu","الليو الروماني"
"currencies.RSD","Serbian Dinar","الدينار الصربي"
"currencies.RUB","Russian Ruble","الروبل الروسي"
"currencies.RWF","Rwandan Franc","الفرنك الرواندي"
"currencies.SAR","Saudi Riyal","الريال السعودي"
"currencies.SDG","Sudanese Pound","الجنيه السوداني"
"currencies.SEK","Swedish Krona","الكرونة السويدية"
"currencies.SGD","Singapore Dollar","الدولار السنغافوري"
"currencies.SRD","Surinamese Dollar","دولار سورينامي"
"currencies.SYP","Syrian Pound","الليرة السورية"
"currencies.SZL","Swazi Lilangeni","ليلانجيني سوازيلاندي"
"currencies.THB","Thai Baht","الباهت التايلاندي"
"currencies.TJS","Tajikistani Somoni","سوموني طاجيكستاني"
"currencies.TMT","Turkmenistan Manat","مانات تركمانستاني"
"currencies.TND","Tunisian Dinar","الدينار التونسي"
"currencies.TRY","Turkish Lira","الليرة التركية"
"currencies.TWD","","دولار تايواني"
"currencies.TZS","Tanzanian Shilling","الشلن التنزاني"
"currencies.UAH","Ukrainian Hryvnia","الهريفنيا الأوكرانية"
"currencies.UGX","Ugandan Shilling","الشلن الأوغندي"
"currencies.USD","US Dollar","الدولار الأمريكي"
"currencies.UYU","Uruguayan Peso","بيزو أوروغواياني"
"currencies.UZS","Uzbekistani Som","السوم الأوزبكي"
"currencies.VED","Venezuelan Bolívar","بوليفار فنزويلي"
"currencies.VEF","","البوليفار الفنزويلي"
"currencies.VND","Vietnamese Dong","الدونج الفيتنامي"
"currencies.XAF","Central African CFA Franc","فرنك وسط أفريقيا"
"currencies.XOF","West African CFA Franc","فرنك غرب أفريقيا"
"currencies.YER","Yemeni Rial","الريال اليمني"
"currencies.ZAR","South African Rand","الراند الجنوب أفريقي"
"currencyNames.Afghan Afghani","","أفغاني"
"currencyNames.Albanian Lek","","ليك ألباني"
"currencyNames.Algerian Dinar","","دينار جزائري"
"currencyNames.Argentine Peso","","بيزو أرجنتيني"
"currencyNames.Australian Dollar","","الدولار الأسترالي"
"currencyNames.Bahraini Dinar","","دينار بحريني"
"currencyNames.Bangladeshi Taka","","تاكا بنغلاديشي"
"currencyNames.Belarusian Ruble","","روبل بيلاروسي"
"currencyNames.Bhutanese Ngultrum","","نغولتروم بوتاني"
"currencyNames.Bolivian Boliviano","","بوليفيانو بوليفي"
"currencyNames.Botswanan Pula","","بولا بوتسواني"
"currencyNames.Brazilian Real","","ريال برازيلي"
"currencyNames.British Pound","","الجنيه الإسترليني"
"currencyNames.Bulgarian Lev","","ليف بلغاري"
"currencyNames.Cambodian Riel","","ريال كمبودي"
"currencyNames.Canadian Dollar","","الدولار الكندي"
"currencyNames.Chilean Peso","","بيزو تشيلي"
"currencyNames.Chinese Yuan","","يوان صيني"
"currencyNames.Colombian Peso","","بيزو كولومبي"
"currencyNames.Croatian Kuna","","كونا كرواتية"
"currencyNames.Czech Koruna","","كورونا تشيكية"
"currencyNames.Danish Krone","","كرونة دنماركية"
"currencyNames.Egyptian Pound","","جنيه مصري"
"currencyNames.Ethiopian Birr","","بير إثيوبي"
"currencyNames.Ghanaian Cedi","","سيدي غاني"
"currencyNames.Guyanese Dollar","","دولار غياني"
"currencyNames.Hungarian Forint","","فورنت مجري"
"currencyNames.Icelandic Krona","","كرونة آيسلندية"
"currencyNames.Indian Rupee","","روبية هندية"
"currencyNames.Indonesian Rupiah","","روبية إندونيسية"
"currencyNames.Iranian Rial","","ريال إيراني"
"currencyNames.Iraqi Dinar","","دينار عراقي"
"currencyNames.Israeli Shekel","","شيكل إسرائيلي"
"currencyNames.Japanese Yen","","الين الياباني"
"currencyNames.Jordanian Dinar","","دينار أردني"
"currencyNames.Kazakhstani Tenge","","تنغي كازاخستاني"
"currencyNames.Kenyan Shilling","","شلن كيني"
"currencyNames.Kuwaiti Dinar","","دينار كويتي"
"currencyNames.Kyrgyzstani Som","","سوم قيرغيزي"
"currencyNames.Lao Kip","","كيب لاوسي"
"currencyNames.Lebanese Pound","","ليرة لبنانية"
"currencyNames.Lesotho Loti","","لوتي ليسوتو"
"currencyNames.Libyan Dinar","","دينار ليبي"
"currencyNames.Macedonian Denar","","دينار مقدوني"
"currencyNames.Malaysian Ringgit","","رينغيت ماليزي"
"currencyNames.Mexican Peso","","بيزو مكسيكي"
"currencyNames.Moldovan Leu","","ليو مولدوفي"
"currencyNames.Mongolian Tugrik","","توغريك منغولي"
"currencyNames.Moroccan Dirham","","درهم مغربي"
"currencyNames.Mozambican Metical","","متيكال موزمبيقي"
"currencyNames.Myanmar Kyat","","كيات ميانماري"
"currencyNames.Namibian Dollar","","دولار ناميبي"
"currencyNames.Nepalese Rupee","","روبية نيبالية"
"currencyNames.Nigerian Naira","","نيرة نيجيرية"
"currencyNames.Norwegian Krone","","كرونة نرويجية"
"currencyNames.Omani Rial","","ريال عماني"
"currencyNames.Pakistani Rupee","","روبية باكستانية"
"currencyNames.Paraguayan Guarani","","غواراني باراغواياني"
"currencyNames.Peruvian Sol","","سول بيروفي"
"currencyNames.Philippine Peso","","بيزو فلبيني"
"currencyNames.Polish Zloty","","زلوتي بولندي"
"currencyNames.Qatari Riyal","","ريال قطري"
"currencyNames.Romanian Leu","","ليو روماني"
"currencyNames.Russian Ruble","","روبل روسي"
"currencyNames.Rwandan Franc","","فرنك رواندي"
"currencyNames.Saudi Riyal","","ريال سعودي"
"currencyNames.Serbian Dinar","","دينار صربي"
"currencyNames.Singapore Dollar","","دولار سنغافوري"
"currencyNames.Sudanese Pound","","جنيه سوداني"
"currencyNames.Surinamese Dollar","","دولار سورينامي"
"currencyNames.Swazi Lilangeni","","ليلانغيني سوازيلندي"
"currencyNames.Swedish Krona","","كرونة سويدية"
"currencyNames.Swiss Franc","","الفرنك السويسري"
"currencyNames.Syrian Pound","","ليرة سورية"
"currencyNames.Tajikistani Somoni","","سوموني طاجيكستاني"
"currencyNames.Tanzanian Shilling","","شلن تنزاني"
"currencyNames.Thai Baht","","بات تايلندي"
"currencyNames.Tunisian Dinar","","دينار تونسي"
"currencyNames.Turkish Lira","","ليرة تركية"
"currencyNames.Turkmenistan Manat","","مانات تركماني"
"currencyNames.UAE Dirham","","درهم إماراتي"
"currencyNames.US Dollar","","الدولار الأمريكي"
"currencyNames.Ugandan Shilling","","شلن أوغندي"
"currencyNames.Ukrainian Hryvnia","","هريفنا أوكرانية"
"currencyNames.Uruguayan Peso","","بيزو أوروغواياني"
"currencyNames.Uzbekistani Som","","سوم أوزبكستاني"
"currencyNames.Vietnamese Dong","","دونغ فيتنامي"
"currencyNames.Yemeni Rial","","ريال يمني"
"dashboard.accountsPayable","Accounts Payable","الحسابات الدائنة"
"dashboard.accountsReceivable","Accounts Receivable","الحسابات المدينة"
"dashboard.addContactDesc","Add Customers or Suppliers","أضف العملاء أو الموردين"
"dashboard.addContacts","Add Contacts","إضافة جهات اتصال"
"dashboard.bankBalance","Bank Balance","الرصيد البنكي"
"dashboard.cashFlow","Cash Flow","التدفق النقدي"
"dashboard.configure","Configure","إعداد"
"dashboard.createInvoice","Create Invoice","إنشاء فاتورة"
"dashboard.createInvoiceDesc","Start Creating Your First Invoice","ابدأ في إنشاء أول فاتورة لك"
"dashboard.currentMonthExpenses","Current Month Expenses by Category","مصروفات الشهر الحالي"
"dashboard.expenseBreakdown","Expense Breakdown","توزيع المصروفات"
"dashboard.expenses","Expenses","المصروفات"
"dashboard.export","Export","تصدير"
"dashboard.financialSummary","Financial Summary","الملخص المالي"
"dashboard.fromLastMonth","from last month","من الشهر الماضي"
"dashboard.gettingStarted","Getting Started","البدء"
"dashboard.latestActivities","Latest Financial Activities","آخر الأنشطة المالية"
"dashboard.manageItems","Manage Items","إدارة الأصناف"
"dashboard.manageItemsDesc","Add Products and Services","إضافة المنتجات والخدمات"
"dashboard.metric","Metric","المقياس"
"dashboard.mockData.internetService","Internet Service","خدمة الإنترنت"
"dashboard.mockData.invoice1","Invoice #INV-2024-001","فاتورة رقم INV-2024-001#"
"dashboard.mockData.invoice2","Invoice #INV-2024-002","فاتورة رقم INV-2024-002#"
"dashboard.mockData.marketing","Marketing","التسويق"
"dashboard.mockData.officeRent","Office Rent","إيجار المكتب"
"dashboard.mockData.officeSupplies","Office Supplies","مستلزمات مكتبية"
"dashboard.mockData.other","Other","أخرى"
"dashboard.mockData.salaries","Salaries","الرواتب"
"dashboard.mockData.utilities","Utilities","الخدمات والمرافق"
"dashboard.monthlyComparison","Monthly Comparison for Last 6 Months","مقارنة شهرية"
"dashboard.monthlyRevenue","Monthly Revenue","الإيرادات الشهرية"
"dashboard.months.apr","Apr","أبريل"
"dashboard.months.aug","Aug","أغسطس"
"dashboard.months.dec","Dec","ديسمبر"
"dashboard.months.feb","Feb","فبراير"
"dashboard.months.jan","Jan","يناير"
"dashboard.months.jul","Jul","يوليو"
"dashboard.months.jun","Jun","يونيو"
"dashboard.months.mar","Mar","مارس"
"dashboard.months.may","May","مايو"
"dashboard.months.nov","Nov","نوفمبر"
"dashboard.months.oct","Oct","أكتوبر"
"dashboard.months.sep","Sep","سبتمبر"
"dashboard.netProfit","Net Profit","صافي الربح"
"dashboard.noOutstandingInvoices","No Outstanding Invoices","لا توجد فواتير مستحقة"
"dashboard.noPendingBills","No Pending Bills","لا توجد فواتير معلقة"
"dashboard.overview","Company Overview","نظرة عامة على الشركة"
"dashboard.profitLoss","Profit & Loss","الأرباح والخسائر"
"dashboard.quickActions","Quick Actions","إجراءات سريعة"
"dashboard.recentTransactions","Recent Transactions","المعاملات الأخيرة"
"dashboard.revenue","Revenue","الإيرادات"
"dashboard.revenueVsExpenses","Revenue vs Expenses","الإيرادات مقابل المصروفات"
"dashboard.startByAddingTransactions","Start by Adding Transactions","ابدأ بإضافة المعاملات"
"dashboard.startByCreating","Start by creating invoices, expenses, or other transactions","ابدأ بإنشاء الفواتير والمصروفات أو أي معاملات أخرى"
"dashboard.step1","Step 1: Setup Company","الخطوة 1: إعداد الشركة"
"dashboard.step1Desc","Setup Your Company Information and Preferences","قم بإعداد معلومات وتفضيلات شركتك"
"dashboard.step2","Step 2: Add Contacts","الخطوة 2: إضافة جهات الاتصال"
"dashboard.step2Desc","Add Your Customers and Suppliers","أضف عملائك ومورديك"
"dashboard.step3","Step 3: Create Invoice","الخطوة 3: إنشاء فاتورة"
"dashboard.step3Desc","Start Creating Your First Invoice","ابدأ في إنشاء أول فاتورة لك"
"dashboard.syncNow","Sync Now","مزامنة الآن"
"dashboard.thisMonth","This Month","هذا الشهر"
"dashboard.title","Dashboard","لوحة التحكم"
"dashboard.totalCash","Total Cash","إجمالي النقد"
"dashboard.totalExpenses","Total Expenses","إجمالي المصروفات"
"dashboard.totalRevenue","Total Revenue","إجمالي الإيرادات"
"dashboard.value","Value","القيمة"
"dashboard.viewAllTransactions","View All Transactions","عرض جميع المعاملات"
"dashboard.viewReports","View Reports","عرض التقارير"
"dashboard.viewReportsDesc","Access Financial Reports","الوصول إلى التقارير المالية"
"dashboard.welcome","Welcome back! Here's what's happening with your business.","مرحباً بك في لوحة التحكم الخاصة بك"
"dateFormats.dmyDash","","DD-MM-YYYY"
"dateFormats.dmySlash","","DD/MM/YYYY"
"dateFormats.mdyDash","","MM-DD-YYYY"
"dateFormats.mdySlash","","MM/DD/YYYY"
"dateFormats.ymdDash","","YYYY-MM-DD"
"dateFormats.ymdSlash","","YYYY/MM/DD"
"diagnostics.authOnly","Auth-only","وضع المصادقة فقط"
"diagnostics.bound","Bound","مرتبط"
"diagnostics.copyId","Copy ID","نسخ المعرف"
"diagnostics.lastRequestId","Last request ID","آخر معرف طلب"
"diagnostics.lastSsoAttempt","Last SSO attempt","آخر محاولة SSO"
"diagnostics.latency","Latency","الكمون"
"diagnostics.mode","Mode","الوضع"
"diagnostics.multipleReactInstances","Multiple React instances detected","تم اكتشاف عدة نسخ من React"
"diagnostics.onlineStatus","Online status","حالة الاتصال"
"diagnostics.reactProbe","React runtime probe","فحص وقت تشغيل React"
"diagnostics.retryBind","Retry bind","إعادة محاولة الربط"
"diagnostics.sessionAge","Session age","عمر الجلسة"
"diagnostics.singleReactInstance","Single React instance","مثيل React واحد"
"diagnostics.ssoStatus","SSO Status","حالة SSO"
"diagnostics.ssoTimeline","SSO timeline","الخط الزمني لـ SSO"
"diagnostics.title","Diagnostics","التشخيص"
"dialogTitles.createAccount","","إنشاء حساب جديد"
"dialogTitles.createItem","","إنشاء منتج جديد"
"dialogTitles.editAccount","","تعديل الحساب"
"dialogTitles.editItem","","تعديل المنتج"
"dialogs.Create New Account","","إنشاء حساب جديد"
"dialogs.Create New Contact","","إنشاء جهة اتصال جديدة"
"dialogs.Create New Item","","إنشاء صنف جديد"
"dialogs.Edit Account","","تعديل الحساب"
"dialogs.Edit Contact","","تعديل جهة الاتصال"
"dialogs.Edit Item","","تعديل الصنف"
"disclaimer.acceptFullResponsibility","","تقبل المسؤولية الكاملة عن استخدامك"
"disclaimer.acceptResponsibility","","تقبل المسؤولية الكاملة"
"disclaimer.accountingErrors","","أخطاء المحاسبة:"
"disclaimer.accountingFirm","","شركة محاسبة"
"disclaimer.accuracyOfData","","دقة جميع البيانات"
"disclaimer.allNumbers","","جميع الأرقام والمبالغ التي تدخلها"
"disclaimer.allNumbersYouEnter","","جميع الأرقام والمبالغ التي تدخلها"
"disclaimer.alwaysConsult","","استشر دائماً محاسباً محترفاً معتمداً عند:"
"disclaimer.annualAudit","","للتدقيقات السنوية"
"disclaimer.auditProblems","","مشاكل التدقيق"
"disclaimer.audits","","التدقيقات"
"disclaimer.beforeTaxSubmission","","قبل تقديم الإقرارات الضريبية"
"disclaimer.businessDecisions","","اتخاذ قرارات عمل كبيرة"
"disclaimer.businessFailure","","فشل الأعمال"
"disclaimer.byUsing","","باستخدام Log & Ledger، فإنك تقر بأنك:"
"disclaimer.byUsingApp","","باستخدام Log & Ledger، فإنك تقر بأنك:"
"disclaimer.byUsingService","","باستخدام Log & Ledger، أنت توافق على أن:"
"disclaimer.calculations","","حسابات - لكن تحقق منها"
"disclaimer.certifiedAccountants","","محاسبون قانونيون معتمدون"
"disclaimer.complexMatters","","للمسائل المالية المعقدة"
"disclaimer.consultAccountant","","استشر محاسباً محترفاً"
"disclaimer.consultProfessional","","استشر محاسباً محترفاً"
"disclaimer.consultingProfessionals","","استشارة المحترفين عند الحاجة"
"disclaimer.contactSupport","","اتصل بنا على support@logandledger.com"
"disclaimer.contactUs","","اتصل بنا على"
"disclaimer.cyberAttacks","","هجمات إلكترونية (على الرغم من احتياطاتنا)"
"disclaimer.dataAccuracy","","دقة البيانات:"
"disclaimer.dataLoss","","فقدان البيانات:"
"disclaimer.developedUnderLicense","","تم تطويره بموجب ترخيص تطوير البرمجيات في الإمارات"
"disclaimer.dontRelyOnly","","لا تعتمد فقط على البرنامج"
"disclaimer.dontRelyOnlyCloud","","لا تعتمد فقط على السحابة"
"disclaimer.dubaiCourts","","دبي، الإمارات"
"disclaimer.dubaiUAE","","دبي، الإمارات العربية المتحدة"
"disclaimer.emergencies","","في حالة الطوارئ"
"disclaimer.ensureCompliance","","ضمان الامتثال"
"disclaimer.expenseClassification","","تصنيف المصروفات والإيرادات"
"disclaimer.exportRegularly","","صدّر البيانات بانتظام (Excel/CSV)"
"disclaimer.finalAcknowledgment","","الإقرار النهائي"
"disclaimer.financialAdvisors","","مستشارون ماليون"
"disclaimer.financialDecisions","","جميع القرارات المالية"
"disclaimer.financialLosses","","خسائر مالية"
"disclaimer.financialStatements","","إعداد البيانات المالية"
"disclaimer.followCountryLaws","","اتباع قوانين بلدك"
"disclaimer.followUpdates","","تابع تحديثات البرنامج"
"disclaimer.freeService","","للخدمة المجانية = 0 دولار"
"disclaimer.giveAdvice","","تقديم نصيحة قانونية أو ضريبية"
"disclaimer.governedBy","","يخضع هذا البرنامج لقوانين:"
"disclaimer.governingLaw","","القانون الحاكم:"
"disclaimer.guaranteeAccuracy","","ضمان الدقة 100%"
"disclaimer.haveRead","","قرأت هذا الإخلاء بالكامل"
"disclaimer.helpOrganize","","نساعد في تنظيم البيانات المالية"
"disclaimer.hiringSalaries","","التوظيف والرواتب"
"disclaimer.ifProblem","","في حالة حدوث مشكلة:"
"disclaimer.ifProblemOccurs","","في حالة حدوث مشكلة:"
"disclaimer.investmentsLoans","","الاستثمارات والقروض"
"disclaimer.isSoftwareProduct","","هو ""منتج برمجي"" فقط"
"disclaimer.jurisdiction","","الاختصاص القضائي"
"disclaimer.keepBackups","","احتفظ بنسخ احتياطية:"
"disclaimer.keepEvidence","","احتفظ بالأدلة (لقطات شاشة، صادرات)"
"disclaimer.keepPaperCopies","","احتفظ بنسخ ورقية مهمة"
"disclaimer.lastUpdated","","آخر تحديث"
"disclaimer.lawFirm","","مكتب محاماة"
"disclaimer.legalCompliance","","الامتثال القانوني"
"disclaimer.legalIssues","","مشاكل قانونية"
"disclaimer.legalMatters","","المسائل القانونية"
"disclaimer.limitationOfLiability","","حدود المسؤولية"
"disclaimer.limitations","","القيود"
"disclaimer.lossOfContracts","","خسارة العقود أو الأعمال"
"disclaimer.lossOfProfit","","خسارة الأرباح أو الإيرادات"
"disclaimer.maxCompensation","","الحد الأقصى للتعويض: المبلغ المدفوع في آخر 3 أشهر أو 100 دولار أمريكي، أيهما أقل"
"disclaimer.mistakes","","أخطاء في إدخالك"
"disclaimer.mustConsult","","يجب عليك الاستشارة"
"disclaimer.no100Accuracy","","دقة 100% في الحسابات"
"disclaimer.no247Availability","","توفر على مدار الساعة"
"disclaimer.noErrorFree","","برنامج خالي من الأخطاء"
"disclaimer.noLiability","","ليس لدينا مسؤولية عن الخسائر"
"disclaimer.noLiabilityTitle","","عدم المسؤولية"
"disclaimer.noLocalCompliance","","الامتثال لجميع القوانين المحلية"
"disclaimer.notLiableFor","","لسنا مسؤولين عن:"
"disclaimer.notLicensedAccounting","","غير مرخص كـ ""خدمة محاسبية"""
"disclaimer.notifyUs","","أخبرنا على: support@logandledger.com"
"disclaimer.organization","","تنظيم - لكن راجعها"
"disclaimer.pleaseReadCarefully","","يرجى القراءة بعناية قبل استخدام Log & Ledger"
"disclaimer.provideTemplates","","نوفر قوالب محاسبية"
"disclaimer.questions","","أسئلة؟"
"disclaimer.readChanges","","اقرأ التغييرات في الشروط"
"disclaimer.readDisclaimer","","قرأت هذا الإخلاء بالكامل"
"disclaimer.readUnderstood","","قرأت وفهمت هذا الإخلاء"
"disclaimer.replaceAccountant","","استبدال محاسب حقيقي"
"disclaimer.reportErrors","","أخطاء في التقارير المالية"
"disclaimer.reportIssues","","أبلغ عن أي مشاكل فوراً"
"disclaimer.reports","","تقارير - لكن تحقق منها"
